keys,en,en_XA
KEYBIND_STATUS_CONFLICT,{binding} is already bound to {other}. Binding unchanged.,[{binding} ïs älréädý böünd tö {other}. Bïndïng ünchängéd. ~~~~ ~~~~ ~~~~ ~~~~]
KEYBIND_STATUS_BOUND,{action} bound to {binding}.,[{action} böünd tö {binding}. ~~~~ ~~~~]
KEYBIND_STATUS_CLEARED,{action} slot {slot} cleared.,[{action} slöt {slot} cléäréd. ~~~~ ~~~~]
KEYBIND_STATUS_RESET,{action} reset to default.,[{action} rését tö défäült. ~~~~ ~~~~]
KEYBIND_STATUS_RESET_ALL,All bindings reset to default.,[Åll bïndïngs rését tö défäült. ~~~~ ~~~~]
KEYBIND_UNKNOWN,Unknown,[Ünknöwn ~~~~]
KEYBIND_KEY_CODE,Key {code},[Kéý {code} ~~~~]
KEYBIND_PAD_BUTTON,Pad Button {index},[Päd Büttön {index} ~~~~ ~~~~]
KEYBIND_PAD_AXIS,Pad Axis {axis}{direction},[Päd Åxïs {axis}{direction} ~~~~ ~~~~]
KEYBIND_MOUSE_LEFT,Mouse Left,[Möüsé Léft ~~~~]
KEYBIND_MOUSE_RIGHT,Mouse Right,[Möüsé Rïght ~~~~]
KEYBIND_MOUSE_MIDDLE,Mouse Middle,[Möüsé Mïddlé ~~~~]
KEYBIND_WHEEL_UP,Wheel Up,[Whéél Üp ~~~~]
KEYBIND_WHEEL_DOWN,Wheel Down,[Whéél Döwn ~~~~]
KEYBIND_WHEEL_LEFT,Wheel Left,[Whéél Léft ~~~~]
KEYBIND_WHEEL_RIGHT,Wheel Right,[Whéél Rïght ~~~~]
KEYBIND_MOUSE_N,Mouse {index},[Möüsé {index} ~~~~]
HUD_RACE,RACE,[RÅCÉ ~~~~]
HUD_ROUND,ROUND {round},[RÖÜND {round} ~~~~]
HUD_TOWER_HOLDER,TOWER: {name},[TÖWÉR: {name} ~~~~]
HUD_ABILITY_ACTIVE,{title} — {seconds}s,[{title} — {seconds}s ~~~~ ~~~~]
HUD_ABILITY_COOLDOWN,{title} — READY IN {seconds}s,[{title} — RÉÅDÝ ÏN {seconds}s ~~~~ ~~~~]
HUD_ABILITY_READY,{title} — READY,[{title} — RÉÅDÝ ~~~~]
HUD_SPEED_BOOST,SPEED x{multiplier} · {seconds}s,[SPÉÉD x{multiplier} · {seconds}s ~~~~ ~~~~]
HUD_DEV_INVINCIBLE,INVINCIBLE,[ÏNVÏNCÏBLÉ ~~~~]
HUD_DEV_TURBO,TURBO,[TÜRBÖ ~~~~]
HUD_DEV_FREECAM,FREECAM,[FRÉÉCÅM ~~~~]
HUD_ROUND_WON,ROUND WON,[RÖÜND WÖN ~~~~]
HUD_ROUND_LOST,ROUND LOST,[RÖÜND LÖST ~~~~]
HUD_TOWER_TAKEN_BY,TOWER TAKEN BY {name},[TÖWÉR TÅKÉN BÝ {name} ~~~~ ~~~~]
HUD_TOWER_RIFLE,TOWER RIFLE,[TÖWÉR RÏFLÉ ~~~~]
HUD_ROLE_TOWER,TOWER,[TÖWÉR ~~~~]
HUD_ROLE_PRISONER,PRISONER,[PRÏSÖNÉR ~~~~]
HUD_ROLE_GHOST,GHOST,[GHÖST ~~~~]
HUD_ROLE_WATCHING,WATCHING,[WÅTCHÏNG ~~~~]
HUD_TURN,TURN,[TÜRN ~~~~]
HUD_READY,READY,[RÉÅDÝ ~~~~]
HUD_RELOAD,RELOAD,[RÉLÖÅD ~~~~]
HUD_DISTANCE_SUFFIX,M TO THE END,[M TÖ THÉ ÉND ~~~~]
HUD_ARRIVED,AT THE END,[ÅT THÉ ÉND ~~~~]
HUD_GHOST_ORDERS,CATCH A PRISONER,[CÅTCH Å PRÏSÖNÉR ~~~~]
HUD_GHOST_TAKE_PLACE,TAKE THEIR PLACE,[TÅKÉ THÉÏR PLÅCÉ ~~~~]
HUD_GHOST_SPEED_SUFFIX,x FASTER,[x FÅSTÉR ~~~~]
HUD_GHOST_UNSHOOTABLE,CANNOT BE SHOT,[CÅNNÖT BÉ SHÖT ~~~~]
HUD_PRISONERS,PRISONERS,[PRÏSÖNÉRS ~~~~]
HUD_OBJECTIVE_TOTAL_CONVERSION,CONVERT THEM ALL,[CÖNVÉRT THÉM ÅLL ~~~~]
HUD_OBJECTIVE_SHUTOUT,CONVERT {count} OF THEM,[CÖNVÉRT {count} ÖF THÉM ~~~~ ~~~~]
HUD_OBJECTIVE_HOLD,HOLD OUT FOR {seconds} SECONDS,[HÖLD ÖÜT FÖR {seconds} SÉCÖNDS ~~~~ ~~~~]
HUD_OBJECTIVE_UNWINNABLE,THIS TOWER CANNOT WIN THE ROUND,[THÏS TÖWÉR CÅNNÖT WÏN THÉ RÖÜND ~~~~ ~~~~]
HUD_OBJECTIVE_FIRST_ARRIVAL,FIRST TO THE END TAKES THE TOWER,[FÏRST TÖ THÉ ÉND TÅKÉS THÉ TÖWÉR ~~~~ ~~~~]
HUD_OBJECTIVE_ALL_ARRIVALS,ALL OF YOU MUST REACH THE END,[ÅLL ÖF ÝÖÜ MÜST RÉÅCH THÉ ÉND ~~~~ ~~~~]
HUD_OBJECTIVE_RACE,RACE FOR THE TOWER,[RÅCÉ FÖR THÉ TÖWÉR ~~~~ ~~~~]
HUD_FINAL_ROUND,HOLD THIS ROUND TO WIN THE MATCH,[HÖLD THÏS RÖÜND TÖ WÏN THÉ MÅTCH ~~~~ ~~~~]
HUD_ROUND_WINS,ROUND WINS,[RÖÜND WÏNS ~~~~]
HUD_TOWER_EMPTY,TOWER EMPTY,[TÖWÉR ÉMPTÝ ~~~~]
HUD_RELOAD_LENGTH_SUFFIX,S RELOAD,[S RÉLÖÅD ~~~~]
HUD_RESTART_HINT,[R] restart match,[[R] réstärt mätch ~~~~ ~~~~]
HUB_MAP_1,MAP 1,[MÅP 1 ~~~~]
HUB_MAP_3,MAP 3,[MÅP 3 ~~~~]
HUB_PLAYERS_ONE,{count} player,[{count} pläýér ~~~~]
HUB_PLAYERS_MANY,{count} players,[{count} pläýérs ~~~~]
HUB_TAB_HINT,TAB  rules and seats,[TÅB  rülés änd séäts ~~~~ ~~~~]
HUB_START_PROMPT,Start {map}: {key},[Stärt {map}: {key} ~~~~ ~~~~]
HUB_NOTHING_HERE,Nothing stands here yet,[Nöthïng ständs héré ýét ~~~~ ~~~~]
HUB_WAITING_FOR_HOST,Waiting for host,[Wäïtïng för höst ~~~~]
HUB_SEAT_PLAYER,Player {number},[Pläýér {number} ~~~~]
HUB_SEAT_NAME_YOU,{name}  (you),[{name}  (ýöü) ~~~~]
HUB_SEAT_NAME_HOST,{name}  (host),[{name}  (höst) ~~~~]
HUB_SEAT_ROW,Seat {number}   {name},[Séät {number}   {name} ~~~~ ~~~~]
HUB_OPEN_VOTE_PROMPT,Open vote: {key},[Öpén vöté: {key} ~~~~]
HUB_CANCEL_VOTE_PROMPT,Cancel vote: {key},[Cäncél vöté: {key} ~~~~ ~~~~]
HUB_VOTE_TIMER,VOTE  {seconds} s,[VÖTÉ  {seconds} s ~~~~ ~~~~]
HUB_VOTE_ROW,{map}  {count},[{map}  {count} ~~~~]
HUB_VOTE_WINS,{map} wins,[{map} wïns ~~~~]
HUB_VOTE_WINS_TIE,"{map} wins  (tie, seed {seed})","[{map} wïns  (tïé, sééd {seed}) ~~~~ ~~~~]"
HUB_SIGN_VOTES_ONE,"{map}
{count} vote","[{map}
{count} vöté ~~~~ ~~~~]"
HUB_SIGN_VOTES_MANY,"{map}
{count} votes","[{map}
{count} vötés ~~~~ ~~~~]"
MAP_BENTHAM_RING_SUMMARY,"Three decks stacked outward and upward around the tower, and you have to lap all three. Cover in bands on every level, twelve pits cut clean through the floors, kill blocks flush against every lane, and one ramp up off each level, behind cover. The eye in the middle now stands above all of it and can see every deck.","[Thréé décks stäckéd öütwärd änd üpwärd äröünd thé töwér, änd ýöü hävé tö läp äll thréé. Cövér ïn bänds ön évérý lévél, twélvé pïts cüt cléän thröügh thé flöörs, kïll blöcks flüsh ägäïnst évérý läné, änd öné rämp üp öff éäch lévél, béhïnd cövér. Thé éýé ïn thé mïddlé nöw ständs äbövé äll öf ït änd cän séé évérý déck. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
MAP_FOREST_SUMMARY,"A clearing under a closed canopy. One grass lane round a ravine with water at the bottom, a wall of leaves you cannot see through with cells cut into it, and a great tree in the middle: the guard sits on top of it. The sun comes through the canopy from one side.","[Å cléärïng ündér ä clöséd cänöpý. Öné gräss läné röünd ä rävïné wïth wätér ät thé böttöm, ä wäll öf léävés ýöü cännöt séé thröügh wïth célls cüt ïntö ït, änd ä gréät tréé ïn thé mïddlé: thé güärd sïts ön töp öf ït. Thé sün cömés thröügh thé cänöpý fröm öné sïdé. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
